,subject_code,subject_name,text,answer1,answer2,answer3,answer4,correct_1_to_4
404,ENT_math6,Math test part 6,Решите уравнение:  $2\sqrt{x-1} - \sqrt{x+2} = \sqrt{5x-10}$,1,2,4,5,2
405,ENT_math6,Math test part 6,Решите неравенство: $\cos{2x} + 5\cos{x} + 3 \geq 0$,"$[-\frac{2\pi}{3}+2{\pi}n; \frac{2\pi}{3}+2{\pi}n], n\in Z$","$[-\frac{\pi}{4}+2{\pi}n; \frac{\pi}{4}+2{\pi}n], n\in Z$","$[-\frac{\pi}{3}+2{\pi}n; \frac{\pi}{3}+2{\pi}n], n\in Z$","$[-\frac{\pi}{6}+2{\pi}n; \frac{\pi}{6}+2{\pi}n], n\in Z$",1
406,ENT_math6,Math test part 6,"Решите систему уравнений: 
$x + y = 5$
$x^3 + y^3 = 35$","$(-2; 1), (-1; 2)$","$(2; 3), (3; 2)$","$(-1; 3), (1; -1)$","$(2; -1), (-1; 1)$",2
407,ENT_math6,Math test part 6,Найти область определения функции: $y = \frac{1}{1-\sqrt{x^2}}$,$(-1; 1)$,$(-\infty; 1)$,$[-1; 1]$,$(-\infty; -1)\cup (-1; 1)\cup (1; \infty)$,4
408,ENT_math6,Math test part 6,"Вычислить площадь параллелограмма, построенного на векторах 
$\bar{a} = (0; 2; 1)$ и $\bar{b} = (1; 0; 2)$",$\sqrt{21}$,21,$\sqrt{17}$,$\sqrt{23}$,1
409,ENT_math1,Math test part 1,"Найдите значение выражения: $3\frac{1}{8}:a$, если $a = -2\frac{1}{2}$",$\frac{125}{16}$,$\frac{1}{4}$,$1$,$-1\frac{1}{4}$,4
410,ENT_math1,Math test part 1,"12,5% от числа составляет 10. Чему равно это число",$70$,$100$,$80$,$85$,3
411,ENT_math1,Math test part 1,Записать в виде алгебраического выражения: разность произведения чисел $m$ и $n$ и квадрата числа $k$,$k^2 + mn$,$mn - 2k$,$mn - k^2$,$(m-n)\cdot k^2$,3
412,ENT_math1,Math test part 1,Найдите числовое значение выражения: $3{tg}{\frac{\pi}{4}}$,"$1,5$",$4$,$2\frac{1}{4}$,$3$,4
413,ENT_math1,Math test part 1,"Найдите углы параллелограмма, если один из них больше другого на  $50^{\circ}$",$65^{\circ}$ и $115^{\circ}$,$125^{\circ}$ и $55^{\circ}$,$75^{\circ}$ и $105^{\circ}$,$60^{\circ}$ и $120^{\circ}$,1
414,ENT_math2,Math test part 2,"За 2,5 кг баранины заплатили 475 тенге, тогда по той же цене на 665 тенге баранины можно купить",$5$ кг,"$3,25$ кг",$4$ кг,"$3,5$ кг",4
415,ENT_math2,Math test part 2,Решите уравнение: $\sqrt{2}\sin{x} + 1 = 0$,"$\frac{\pi}{2} + 3{\pi}n, n \in Z$","$(-1)^n\frac{\pi}{4} + {\pi}n, n \in Z$","$(-1)^{n+1}\frac{\pi}{n} + {\pi}n, n \in Z$","$-\frac{\pi}{4} + {\pi}n, n \in Z$",3
416,ENT_math2,Math test part 2,Выразите $y$ через $x$ из уравнения $10x - 5y -7 = 0$,$y = 2x - 7$,"$y = 2x + 1,4$","$y = 2x - 1,4$",$y = 2x + 7$,3
417,ENT_math2,Math test part 2,Найдите производную функции $f(x)= \frac{3x^5-4}{5}$,$x$,$3x^4$,$11x^4$,$7x^4$,2
418,ENT_math2,Math test part 2,Найдите производную функции $f(x)=8^x + e^x$,$8^x\ln{e}$,$8^x\ln{8}+e^x$,$x\ln{8}$,$8^x\ln{8}$,1
419,VOUD_ICT,VOUD ICT,What is the number one concern about cloud computing?,Too expensive,Security concerns,Too many platforms,Accessibility,2
420,VOUD_ICT,VOUD ICT,Google Docs is a type of cloud computing,True,False,all answers correct,None of them,1
421,VOUD_ICT,VOUD ICT,Which one of these is not a cloud computing pricing model,Hardware as a service,Platform as a service,Software as a service,Infrastructure as a service,1
422,VOUD_ICT,VOUD ICT,“Cloud” in cloud computing represents what,Wireless,Hard drives,People,Internet,4
423,VOUD_ICT,VOUD ICT,"Which of these should a company consider before implementing cloud computing technology. I: Employee satisfaction, II: Potential cost reduction, III: Information sensitivity",Only I,Only II,Only III,"I, II, and III",4
424,VOUD_ICT,VOUD ICT,What exactly is cloud computing,A way to organize desktop computers,Lightweight software that takes up little space on a hard drive,"Computing resources that can be accessed on demand, like electricity from a utility",The World Wide Web,4
425,VOUD_ICT,VOUD ICT,"What widely used service is built on cloud-computing technology? I: Twitter, II: Skype, III: Gmail, IV: YouTube",Only I,Only II,Only III and I,"I, II, III and IV",4
426,VOUD_ICT,VOUD ICT,Cloud computing embraces many concepts that were previously touted as the next big thing in information technology. Which of these is not an antecedent of the cloud?,Utility computing,Remote hosted services,Grid computing,Desktop computing,4
427,VOUD_ICT,VOUD ICT,What does SQL stand for,Structured Query Language,Strong Question Language,Structured Question Language,Structured Querty Language,1
428,VOUD_ICT,VOUD ICT,Which SQL statement is used to extract data from a database?,Select,GET,OPEN,Extract,1
429,VOUD_ICT,VOUD ICT,Computerized representations of models and attributes of real or simulated entities are?,Data,Knowledge,Information,Database,1
430,VOUD_ICT,VOUD ICT,"Representation of the results of a computational process, such as statistical analysis, or the transcripts of some meanings assigned by human beings is",Data,Knowledge,Information,Database,3
431,VOUD_ICT,VOUD ICT,"Representation of the results of a computer-simulated cognitive process, such as perception, learning, association, and reasoning is",Data,Knowledge,Information,Database,2
432,VOUD_ICT,VOUD ICT,"Continuous representation, similar to the actual information it represents is",Analog data,Digital data,Continuous data,Discrete data,2
433,VOUD_ICT,VOUD ICT,Two bits can represent,Four things,Two things,Eight things,Ten things,2
434,VOUD_ICT,VOUD ICT,The extended version of the ASCII character set is not enough for international use,Unicode,Barcode,EBCDIC,Binary code,1
435,VOUD_ICT,VOUD ICT,The Unicode character set uses _________ per character,16 bits,8 bits,4 bits,32 bits,1
436,VOUD_ICT,VOUD ICT,The first 256 characters in the Unicode character set correspond exactly to the extended ASCII character set,True,False,all answers correct,None of them,1
437,VOUD_ICT,VOUD ICT,List the levels of computer systems from top to down,"application software, operating system software, users, and the hardware system","users, application software, operating system software, and the hardware system","application software, users,operating system software, and the hardware system","hardware system, operating system software, application software, and users",2
438,VOUD_ICT,VOUD ICT,List the levels of computer systems from bottom to up,"application software, operating system software, users, and the hardware system","application software, users,operating system software, and the hardware system","hardware system, operating system software, application software, and users","users, application software, operating system software, and the hardware system",3
439,VOUD_ICT,VOUD ICT,Which software refers to application software?,Microsoft Word,Microsoft Windows,Unix,Mac OS,1
440,VOUD_ICT,VOUD ICT,Which software refers to application software?,Internet Explorer,Microsoft Windows,Unix,Mac OS,1
441,VOUD_ICT,VOUD ICT,Which software refers to application software?,Macromedia Dreamweaver,Microsoft Windows,Unix,Mac OS,1
442,VOUD_ICT,VOUD ICT,Which software refers to application software?,Adobe Acrobat Reader,Microsoft Windows,Unix,Mac OS,1
443,VOUD_ICT,VOUD ICT,Which software refers to system software?,Macromedia Dreamweaver,Microsoft word,Internet Explorer,Microsoft Windows,4
444,VOUD_ICT,VOUD ICT,Which software refers to system software?,Macromedia Dreamweaver,Microsoft word,Internet Explorer,Unix,4
445,VOUD_ICT,VOUD ICT,Which software refers to system software?,Macromedia Dreamweaver,Microsoft word,Mac OS,Internet Explorer,3
446,VOUD_ICT,VOUD ICT,What is the master controller for all activities that take place within a computer,Operating System,Word processor,Application Software,DBMS,1
447,VOUD_ICT,VOUD ICT,"What does send data from a computer over a network, and collects incoming data sent by other computers",Phone line or cable,A modem,A network interface card (NIC),Internet service provider,3
448,VOUD_ICT,VOUD ICT,What is a device that enables data from a computer to be transmitted via phone lines or television cable lines to reach other computers on the Internet?,A network interface card (NIC),Phone line or cable,A modem,Internet service provider,3
449,VOUD_ICT,VOUD ICT,What was the first computer prototype used vacuum tubes?,Analytical Engine,Abacus,ENIAC,Hollerith Tabulating Machine,3
450,VOUD_ICT,VOUD ICT,What is the main component that executes instructions stored in the main memory?,Main memory,Microprocessor,Storage device,Peripheral,2
451,VOUD_ICT,VOUD ICT,What does store instructions to be executed by the microprocessor?,Microprocessor,Peripheral,Storage device,Main memory,4
452,VOUD_ICT,VOUD ICT,What do store data permanently even when the computer is turned off?,Main memory,Peripheral,Storage device,Microprocessor,3
453,VOUD_ICT,VOUD ICT,38.	What enable data input and output?,Storage device,Peripheral,Microprocessor,Main memory,2
454,VOUD_ICT,VOUD ICT,What acts as the traffic cop controlling the flow of data and coordinating interactions among components in the system?,Microprocessor,Main memory,•	Storage device,Chipset,4
455,VOUD_ICT,VOUD ICT,"What does provide sockets for microprocessor and memory chips, slots for circuit boards, and the circuitry that enable electrical signals to travel from component to component?",Power supply,Motherboard,Microprocessor,Chipset,2
456,VOUD_ICT,VOUD ICT,What does provide electrical power to the computer system?,Motherboard,Power supply,Microprocessor,Chipset,2
457,VOUD_ICT,VOUD ICT,What does process instructions stored in main memory?,Motherboard,Power supply,Microprocessor,Chipset,3
458,VOUD_ICT,VOUD ICT,What does serve as a socket on the motherboard into which an expansion card maybe inserted?,Expansion slot,Motherboard,Power supply,Microprocessor,1
459,VOUD_ICT,VOUD ICT,What does enable a computer to control peripheral devices such as the monitor and the microphone?,Power supply,Motherboard,Expansion card,Microprocessor,3
460,VOUD_ICT,VOUD ICT,What does control data flow among components?,Chipset,Motherboard,Power supply,Microprocessor,1
461,VOUD_ICT,VOUD ICT,What does transfer data from storage devices to the motherboard?,Motherboard,IDE (Integrated Drive Electronics) cable,Power supply,Microprocessor,2
462,VOUD_ICT,VOUD ICT,What does store data permanently (even after the computer is turned off)?,Disk drives,Motherboard,Power supply,Microprocessor,1
463,VOUD_ICT,VOUD ICT,What step of the fetch-execute cycle enables the control unit of the CPU to decode the instruction and direct the necessary data to be moved from memory to the ALU?,Interpret,Fetch,Execute,Store,1
464,VOUD_ICT,VOUD ICT,What science studies how to refine the design of products to optimize them for human use?,Ergonomics,HCI,Economics,ICT,1
465,VOUD_ICT,VOUD ICT,What DOS command is used to change the working directory?,md,Cd,rd,ren,2
466,VOUD_ICT,VOUD ICT,What DOS command is used to make a new directory?,cd,ren,rd,md,4
467,VOUD_ICT,VOUD ICT,What DOS command is used to remove an existing empty directory?,cd,md,rd,ren,3
468,VOUD_ICT,VOUD ICT,What DOS command is used to rename a file within a directory?,cd,md,rd,ren,4
469,VOUD_ICT,VOUD ICT,Which of the following are common behaviors of computer viruses?   I. Self-replication;  II. Infliction of physical damage to the computer's hardware;  III Unwarranted file removal,I and II only,II and III only,I and III only,"I, II, and III",3
470,VOUD_ICT,VOUD ICT,Which of the following computer attack methods does not require a hardware or software tool?,Port scanning,Social engineering,Spoofing,Packet sniffing,2
471,VOUD_ICT,VOUD ICT,What does a packet sniffer do?,Captures data packets that are transmitted through a network,Renders a computer network unusable,Causes one computer to impersonate another,Converts encrypted passwords to plain text,1
472,VOUD_ICT,VOUD ICT,A computer attack that uses handler computers to control agent computers to attack a target computer is known as a _____ attack.,Smurf,SYN flood,network connectivity,distributed denial of service,4
473,VOUD_ICT,VOUD ICT,Attacking a computer by sending it an excessive number of email messages is known as,Smurfing,Spoofing,Spamming,Pinging,3
474,VOUD_ICT,VOUD ICT,"70.	With respect to security on the Internet, what is the purpose of digital signatures?",To verify the identity of a message sender,To request receipts for all sent messages,To post anonymous messages to bulletin boards,To encrypt mail messages,1
475,VOUD_ICT,VOUD ICT,One of the most common applications of encryption is transmitting data securely over the Web is ______,the Secure Socket Layer (SSL),a Trojan horse,e-mail,a simple substitution code,1
476,VOUD_ICT,VOUD ICT,Which encryption method uses a pair of digital keys?,Active-X,SSL,Public key encryption,S-HTTP,4
477,VOUD_ICT,VOUD ICT,"Which of the following reasons is (are) valid for why ""IITU"" is a bad password?    I. It is a word from the dictionary;   II It does not contain numbers and symbols;   III. It is the name of an institution",I and II only,II and III,"I, II, and III",I and III only,2
478,VOUD_ICT,VOUD ICT,"Embedding different types of data, such as sound and graphics, within Internet electronic mail requires which of the following formats to be used for encoding the data?",TCP/IP,GIF,MIME,Encryption,3
479,VOUD_ICT,VOUD ICT,ISPs can be accessed by which of the following ways?   I. Telephone lines   II. Cable television systems   III. Personal satellite dishes,I only,I and II only,"I, II, and III√",II only,3
480,VOUD_ICT,VOUD ICT,The numbers in IP addresses are separated by,points,periods,colons,commas,2
481,VOUD_ICT,VOUD ICT,What knits the Internet together and allows data to travel smoothly over the communications links provided by NSPs worldwide?,FTP,TCP/IP,HTTP,URL,2
482,VOUD_ICT,VOUD ICT,What networks are useful in environments where wiring is difficult to install?,Twisted pair,Coaxial,Wirefree,Wireless,4
483,VOUD_ICT,VOUD ICT,What top-level domain belongs to computers in the category of commercial businesses?,bus,com,org,bsn,2
484,VOUD_ICT,VOUD ICT,An IP address is a set of four numbers between 0 and,123,24,16,255,4
485,VOUD_ICT,VOUD ICT,What top-level domain belongs to computers in the category of networks and ISPs?,adm,int,net,html,3
486,VOUD_ICT,VOUD ICT,What top-level domain belongs to computers in the category of professional and nonprofit organizations?,com,npo,org,edu,3
487,VOUD_ICT,VOUD ICT,Which of the following is (are) true about thick and thin clients in a client-server system? I. Thin clients perform relatively little work. II.A Web browser is an example of a thick client. III.A handheld computer is a typical example of a thin client.,I and III only,"I, II, and III",III only,I only,1
488,VOUD_ICT,VOUD ICT,"84.	When you send an email to someone, it is sent to",the sender's email server,the sender's email client,the recipient's computer,the recipient's email server,4
489,VOUD_ICT,VOUD ICT,"Using a(n) _____ protocol, the sender and the receiver are synchronized by a signal called a clock",synchronous,asynchronous,analog,block,1
490,VOUD_ICT,VOUD ICT,The bandwidth of a(n) _____ signal is usually measured in bits per second.,video,digital,satellite,analog,2
491,VOUD_ICT,VOUD ICT,What type of cable is typically used to carry cable television signals because its high capacity allows it to carry signals for more than 100 television channels simultaneously?,BNC,STP,UTP,Coaxial,4
492,VOUD_ICT,VOUD ICT,A communications _____ is a physical path or frequency for a signal transmission.,band,channel,protocol,bridge,2
493,VOUD_ICT,VOUD ICT,Which of the following terms represents the transmission capacity of a communications channel?,Indexing,Frequency,Bandwidth,Resolution,3
494,VOUD_ICT,VOUD ICT,Which of the following are commonly used network topologies? I.Star  II. Ring  III.Modems,I and II only,III only,II and III only,I and III only,1
495,VOUD_ICT,VOUD ICT,"When two devices communicate, they must agree on protocols for  I.starting and ending a transmission  II.recognizing transmission errors  III.determining the rate of data transmission",II and III only,I and II only,"I, II, and III",I and III only,3
496,VOUD_ICT,VOUD ICT,Modems transfer data between computers by converting between,analog and digital,Ethernet and digital,video and sound,analog and Ethernet,1
497,VOUD_ICT,VOUD ICT,Which of the following are potential communications links?   I. Telephone wiring   II. Fiber-optic cable   III. Satellite,I and II only,II only,"I, II, and III",III only,3
498,VOUD_ICT,VOUD ICT,"What kind of waves provides wireless transmission for mobile communications, such as cellular telephones, and for stationary communications where it is difficult or impossible to install cabling, such as in remote, geographically rugged regions?",Infrared,Radio,UTP,Line-of-sight,2
499,VOUD_ICT,VOUD ICT,Which of the following are protocols associated with Internet email? I.SMTP  II.POP  III. FTP,I and III only,I and II only,"I, II, and III",II and III only,2
500,VOUD_ICT,VOUD ICT,Which of the following services may be provided by an ISP?   I.	A temporary IP address   II.	An account on the ISP's email server   III.	Web hosting of the customer's Web page,II and III only,"I, II, and III",I and II only,I and III only,2
501,VOUD_ICT,VOUD ICT,What is a backbone provider (also known as a Network Service Provider)?,A group of small providers that work together to provide Internet access,Any company that provides Web-based services,A provider of national and international network links for the Internet √,The largest provider of Internet access within a particular region,3
502,VOUD_ICT,VOUD ICT,"With respect to the Internet, routers are used to connect",a computer and a modem,a computer to the Internet,any two computers,different networks of computers,4
503,VOUD_ICT,VOUD ICT,"With respect to the Internet, companies need to register a unique domain name when",buying a new modem,establishing an electronic commerce Web site,buying a new computer,connecting a new computer to the Internet,2
504,VOUD_ICT,VOUD ICT,Which of the following are tasks performed by a Web browser?   I. Sending a request for a specific file to a server    II. Formatting and displaying a file received from a server   III. Sending additional requests to the server to retrieve any graphics elements such as icons or images for a requested file,"I, II, and III",I and III only,II and III only,I and II only,1
505,VOUD_ICT,VOUD ICT,What is the protocol used to transfer Web pages?,html,http,udp,ftp,2
506,VOUD_ICT,VOUD ICT,What is the name of the Internet protocol used to make sure messages are reliably transmitted and received by the destination computer?,TCP,ISP,IP,POP,1
507,VOUD_ICT,VOUD ICT,The World Wide Web is,the same as the Internet,a software package,a client/server application program used to access the Internet,a collection of Web servers throughout the world,4
508,VOUD_ICT,VOUD ICT,"When a fully explicit URL such as http://www.iitu.kz is provided to an Internet browser, ""http"" refers to the name of the",domain where the Web server resides,language in which the page is written,Web server containing the Web page,protocol used to perform the operation,4
509,VOUD_ICT,VOUD ICT,IP host addresses on the Internet are composed of which of the following?,A 24-bit number,A single decimal number ranging from 0 to 255,Four decimal numbers ranging from 0 to 255,Any number of lowercase alphanumeric characters,3
510,VOUD_ICT,VOUD ICT,"After gaining access to a computer system, hackers will typically do which of the following?   I. Set up control for further attacks    II.Take, alter, or delete data     III. Use the computer system resources","I, II, and III",II and III only,I and II only,II only,1
511,VOUD_ICT,VOUD ICT,Which of the following is (are) true regarding network bandwidth attacks? I.They can be used to launch a denial of service attack.  II.They can cause a Web site to become unavailable.  III.They work by flooding a network with traffic.,I and II only,II and III only,"I, II, and III",I and III only,3
512,VOUD_ICT,VOUD ICT,Which of the following computer attacks is spoofing?,Using a program to decrypt passwords,Monitoring a network to intercept data,Using one computer to impersonate another,Accessing an unprotected port on a computer,3
513,VOUD_ICT,VOUD ICT,The method of cracking a password by trying all possible alphanumeric combinations is known as a _____ attack,port scanning,dictionary,brute force,man-in-the-middle,3
514,VOUD_ICT,VOUD ICT,"After loading a word processor document from a floppy, a user's computer begins to show symptoms of being infected by a virus.Which of the following is true concerning this situation?",The document text could have contained an embedded virus.,"The word processing program checks all documents for viruses before using them, so the source  the virus was not the document.","A document cannot contain a virus, so the source of the virus was not the word processing document.",The document could have contained a macro that contained a virus.,4
515,VOUD_ICT,VOUD ICT,Which of the following is email spoofing?,Sending large amounts of unsolicited email,Sending viruses through email,Modifying an email header to fake the email source,Intercepting email by monitoring a network,3
516,VOUD_ICT,VOUD ICT,Which of the following is (are) true regarding a Smurf attack? I.It can use the ping command to perform the attack.II.It allows a hacker to steal data from a computer.III.It uses other computers on a network to attack a single computer,II and III only,I and III only,I and II only,"I, II, and III",2
517,VOUD_ICT,VOUD ICT,Which of the following consequences of executing a virus on a PC is (are) possible?   I.Files appear to be missing or deleted from the hard disk.  II.Either the PC system board or a disk drive is physically damaged.  III.There is low computer memory on disks.,II and III only,I only,I and III only,"I, II, and III",3
518,VOUD_ICT,VOUD ICT,Which of the following is (are) true regarding computer security attacks?    I. Hackers can cause home computers to attack other computers.   II. Organizations typically experience more computer security breaches from internal personnel than from people external to the organization.,I only,II only,None,I and II,4
519,VOUD_ICT,VOUD ICT,Which of the following is (are) true regarding network connectivity attacks?   I. A network connectivity attack can be achieved by generating numerous half-open connections to the target computer.   II. A network connectivity attack can be achieved by generating excessive amount of traffic on the target network.,I and II,None,I only,II only,1
520,VOUD_ICT,VOUD ICT,How does a receiver of an encrypted message verify that the message originated from the sender?,The receiver compares the message with the decrypted signature of the sender.,The receiver compares the message hashed with the sender's signature,The receiver compares the message hashed with the decrypted signature of the sender.,The receiver compares the received message with the sender's signature.,3
521,VOUD_ICT,VOUD ICT,"To encrypt a message using public-key encryption scheme, which of the following must be done?",Encrypt the message using the receiver's private key.,Encrypt the message using the sender's private key.,Encrypt the message using the receiver's public key.,Encrypt the message using the sender's public key,3
522,VOUD_ICT,VOUD ICT,Which of the following must be included on a digital certificate?   I. The name of the entity and the expiration date   II. The number of times the certificate has been viewed   III. The digital signature of the certificate authority,II and III only,"I, and III","I, II, and III",I and II only,2
523,VOUD_ICT,VOUD ICT,Encryption is used to,save storage space,store data files in a vault,protect privacy by encoding data,archive system files,3
524,VOUD_ICT,VOUD ICT,"Of the following processes, which best characterizes the authentication process?",Logging into a secure site,Verifying that software that is in use is not a pirated copy,Authorizing use of some resource by a particular user,Establishing a user identity,4
525,VOUD_ICT,VOUD ICT,Which of the following is (are) true regarding computer network intrusion detection systems? I.They compare traffic against a database of known attack signatures.II. They can generate false alarms.,I only,None,II only,I and II,4
526,VOUD_ICT,VOUD ICT,The security of data can be violated through which of the following?  I.Malicious acts  II.User errors    III.Disasters,II and III only,"I, II, and III",I only,I and III only,2
527,VOUD_ICT,VOUD ICT,Which of the following is (are) true regarding computer security? I.Applying all available security measures may negatively impact system usability.  II.Most intrusions result from exploitation of known vulnerabilities that remain unpatched.,None,I and II,II only,I only,2
528,VOUD_ICT,VOUD ICT,Good computer security practices include which of the following? I.Never shop online.   II.Remove excess RAM from computers.  III.Avoid sending email at night.,II and III only,I and II only,"I, II, and III",None,4
529,VOUD_ICT,VOUD ICT,Examples of network monitoring tools include which of the following?   I.Packet sniffers   II.Antivirus software   III.Security patches,I only,I and III only,II only,"I, II, and III",1
530,VOUD_ICT,VOUD ICT,"Which of the following is (are) true of anti-virus software? I.Typically, it scans both files and memory.    II.It is ineffective unless it is updated frequently.   III.It protects against network bandwidth attacks.",II only,I and II only,"I, II, and III",I and III only,2
531,VOUD_ICT,VOUD ICT,Which of the following is (are) important to ensuring computer security?  I.Keep applications and operating system updated with the latest security patches.  II.Replace motherboard batteries regularly.  III.Use firewalls,III only,"I, II, and III",I and III only,II and III only,3
532,VOUD_ICT,VOUD ICT,Which of the following statements is (are) true about smart cards? I.They are vulnerable to Internet attacks. II.They can encrypt data.,II only,None,I and II,I only,1
533,VOUD_ICT,VOUD ICT,Which of the following is correct with respect to customers providing highly personal information across the Internet through electronic commerce transactions?,Customers should never provide charge card information when asked to complete an electronic commerce transaction.,Transactions are relatively secure between the consumer and a company's Web site if the data is encrypted.,It is impossible for anybody to see the transaction on the Internet except for the intended Web site conducting the transaction.,"If a transaction is encrypted, any unauthorized parties intercepting the transaction will take ten or more years to decrypt the information.",2
534,VOUD_ICT,VOUD ICT,Which of the following comparisons between public-key encryption schemes and private-key encryption schemes is true?,It takes longer to transmit encrypted data using private-key encryption schemes than public-key encryption schemes.,It is easier to decrypt data using private-key encryption schemes than public-key encryption schemes.,Private-key encryption schemes are more secure than public-key encryption schemes.,Public-key encryption schemes involve more computations than private-key encryption schemes.,4
535,VOUD_ICT,VOUD ICT,Which of the following is true about private-key encryption schemes?,The sender and the receiver have different private keys.,The sender and the receiver use the same private key.,"The sender and the receiver have two private keys, one for encryption and one for decryption.",The sender must notify the receiver before sending a message.,2
536,VOUD_ICT,VOUD ICT,ANSI stands for,All National Standard of Information,American National System Information,American National Standards Institute,All National Standards Institute,3
537,VOUD_ICT,VOUD ICT,"Who designed a general-purpose calculating device, the Analytical Engine?",Augusta Ada King,Gordon Moore,Jack Kilby,Charles Babbage,4
538,VOUD_ICT,VOUD ICT,This means that each layer needs only a limited amount of knowledge to do its job,Encapsulation,Abstraction,Deduction,E-learning,1
539,VOUD_ICT,VOUD ICT,"What is the use of a range of modern information and technologies by government to improve efficiency, service etc.  i.e. Internet,mobile,local area network?",E-Commerce,E-Learning,E-Governance,E-Bussiness,3
540,VOUD_ICT,VOUD ICT,"What  is referring to data in electronic form, which is logically associated with other data in electronic form and which is used by the signatory to sign?",Cryptographic key,Electronic signature,Telegraph signatures,Faxed signatures,2
541,VOUD_ICT,VOUD ICT,"_____________provides us a means by which we can access the applications as utilities, over the Internet. It allows us to create, configure, and customize applications online.",Cloud computing,E-commerce,E-learning,Data centers,1
542,VOUD_ICT,VOUD ICT,"What is a term for all types of technology-enhanced learning (TEL), where technology is used to support the learning process?",Cloud computing,E-commerce,E-learning,Data centers,3
543,VOUD_ICT,VOUD ICT,"What is a continuous representation, analogous to the actual information it represents?",Analog data,Data,Information,Knowledge,1
544,VOUD_ICT,VOUD ICT,What is the technology that uses computing with high speed communication links to spread information from one place to another,Information technology,Data,Knowledge,Computing systems,1
545,VOUD_ICT,VOUD ICT,"_______are complex devices, dealing with a vast array of information categories",Information technology,Data,Knowledge,Computing systems,4
546,VOUD_ICT,VOUD ICT,"In cryptography, what is cipher?  I. algorithm for performing encryption and decryption   II. encrypted message",Only I,Only II,Both I and II,None,3
547,VOUD_ICT,VOUD ICT,"In asymmetric key cryptography, the private key is kept by",Sender,Receiver,Sender and receiver,All connected devices to the network,3
548,VOUD_ICT,VOUD ICT,____________is a set of computer instructions or data.,Software,Hardware,Disk drive,Memory,1
549,VOUD_ICT,VOUD ICT,What is the IDE (Integrated Drive Electronics) cable,Rolls data flow among component,Transfers data from storage devices to the motherboard,Stores data permanently,Serves as a socket on the motherboard,2
550,VOUD_ICT,VOUD ICT,What allow users to automate sequences of actions they perform frequently?,Script,Macros,Script and macros,None,2
551,VOUD_ICT,VOUD ICT,_________ is the rapid display of a sequence of images of 2-D or 3-D artwork or model positions in order to create an illusion of movement.,Text,Animation,Video conferencing,Picture,2
552,VOUD_ICT,VOUD ICT,"How we call the process, when each user has a single view of the available resources, independently of how they are arranged in terms of physical devices?",Scalability,Elasticity,Virtualization,Lower Infrastructure Costs,3
553,VOUD_ICT,VOUD ICT,Indicate working models for cloud computing:,Deployment models only,Deployment and Service Models,Service models only,None,2
554,VOUD_ICT,VOUD ICT,Which of the following cloud deployment models allows systems and services to be accessible within an organization?,Public Cloud,Community Cloud,Private Cloud,None,3
555,VOUD_ICT,VOUD ICT,What are the Service Models?,They are the reference models on which the Cloud Computing is based,They allow systems and services to be accessible by group of organizations,They allow systems and services to be easily accessible to the general public,None,1
556,VOUD_ICT,VOUD ICT,"What provides access to fundamental resources such as physical machines, virtual machines, virtual storage?",SaaS,IaaS,PaaS,None,2
557,VOUD_ICT,VOUD ICT,"What provides the runtime environment for applications, development & deployment tools?",SaaS,IaaS,PaaS,None,3
558,VOUD_ICT,VOUD ICT,Which model allows using software applications as a service to end users?,SaaS,IaaS,PaaS,None,1
559,VOUD_ICT,VOUD ICT,What provides a uniform abstraction of the underlying physical machine?,Abstraction,Virtualization,Hypervision,None,2
560,VOUD_ICT,VOUD ICT,What is ICT?,(TCP/IP) Portal,Commercial organization,It is a programmer or computer for getting special information from another compute,"Are the technologies used in the conveying, manipulation and storage of data by electronic means",4
561,VOUD_ICT,VOUD ICT,Information - is:,the collection of printed and audio messages,"the totality of the facts, events, messages, subject to registration and processing","the collection of newspaper articles, advertisements and advertising",the collection of radio and television messages,2
562,VOUD_ICT,VOUD ICT,Information  resources - is:,the collection of qualified specialist,Economic resources of the enterprise,"the product of intellectual, activity of qualified professionals of different professional groups",Scientific and technological resources of the enterprise,3
563,VOUD_ICT,VOUD ICT,Communication channel is shared by all the machines on the network in,broadcast network,unicast network,multicast network,none of the mentioned,1
564,VOUD_ICT,VOUD ICT,"Data communication system spanning states, countries, or the whole world is",LAN,WAN,MAN,None of the mentioned,2
565,VOUD_ICT,VOUD ICT,What are examples of telecommunication networks?,Internet,Modem,Moth,Power supply,1
566,VOUD_ICT,VOUD ICT,What parts is telecommunication networks?,Plane Data and management,Plane HDD,Plane screen,There is no right option,1
567,VOUD_ICT,VOUD ICT,is Hardware?,One of the components of the information technology- Software,Binary system,"Hardware is best described as any physical component of a computer system that contains a circuit board, ICs, or other electronics",of the components of information technology - hardware,3
568,VOUD_ICT,VOUD ICT,What is Software?,Software is one of the components of the information technology - hardware,Hard disk inside the system unit,Binary system,"software is a collection of instructions that enable the user to interact with a computer, its hardware, or perform tasks.",4
569,VOUD_ICT,VOUD ICT,"Binary system use digits 0 and 1, which used in the computer, because:","Elements, of a computer may be in two stable states",In its most simple multiplication table,In addition it is the simplest,It does not carry over units in the senior ranks at addition,1
570,VOUD_ICT,VOUD ICT,Bit - it is,the smallest unit of information,ASCII code,8 bytes,position number of digits in the number of,1
571,VOUD_ICT,VOUD ICT,Byte - a,the smallest unit of information,position number of digits in the number of,8 bits,way of writing numbers,3
